what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.perspectives.showPerspective,1237236372660
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.perspectives.showPerspective,1237236372660
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237236376517
started,bundle,org.tigris.subversion.clientadapter.javahl,1.5.2.1,org.tigris.subversion.clientadapter.javahl,1237236401220
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.5.2,org.tigris.subversion.clientadapter.svnkit,1237236401222
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1237236402515
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1237236402752
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1237236421318
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237236427323
activated,perspective,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.JavaPerspective,1237236448924
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1237236448938
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237236452098
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1237236468082
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1237236470617
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1237236470632
started,bundle,org.eclipse.jdt.launching.macosx,3.1.100.v20080422,org.eclipse.jdt.launching.macosx,1237236470644
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237236480381
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1237236480465
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1237236480465
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20080902-1220,org.eclipse.jdt.apt.core,1237236482209
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1237236482227
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1237236482303
started,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1237236482399
started,bundle,org.eclipse.wst.sse.core,1.1.302.v200808260045,org.eclipse.wst.sse.core,1237236482450
started,bundle,org.eclipse.ant.core,3.2.0.v20080529,org.eclipse.ant.core,1237236483118
