what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1237236483552
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1237236483565
started,bundle,org.eclipse.pde.build,3.4.1.R34x_v20080805,org.eclipse.pde.build,1237236483738
started,bundle,org.eclipse.equinox.p2.metadata.generator,1.0.1.R34x_v20080819,org.eclipse.equinox.p2.metadata.generator,1237236483742
started,bundle,org.eclipse.equinox.p2.director.app,1.0.1.R34x_v20080729,org.eclipse.equinox.p2.director.app,1237236483748
started,bundle,org.eclipse.help.base,3.3.101.M20080728_34x,org.eclipse.help.base,1237236483782
started,bundle,org.eclipse.wst.command.env,1.0.306.v200807231700,org.eclipse.wst.command.env,1237236483826
started,bundle,org.eclipse.pde.core,3.4.0.v20080903-1700,org.eclipse.pde.core,1237236483910
started,bundle,org.eclipse.pde.api.tools,1.0.0.v20080730_r341,org.eclipse.pde.api.tools,1237236484002
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1237236487728
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237236498964
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237236518278
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1237236518325
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1237236518325
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237236522358
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237236545765
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1237236545821
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1237236545821
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237236549181
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237236599761
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1237236608656
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1237236611943
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1237236612017
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1237236612022
started,bundle,org.eclipse.cdt.launch,5.0.1.200809120802,org.eclipse.cdt.launch,1237236612957
